customer_id,first_name,last_name,birth_date,gender,email,phone_number,region,risk_score
1,Danielle,Johnson,1963-03-06,Other,jeffreydoyle@example.net,001-581-896-0013x3890,Northeast,1.1
2,Jeffrey,Lawrence,1999-07-18,F,blakeerik@example.com,942-335-1161x55940,Southeast,1.89
3,Teresa,Gray,1982-01-11,Other,maria95@example.net,610.934.1316,Northeast,3.71
4,Cynthia,Diaz,1969-08-26,Other,jason41@example.net,+1-228-732-7648x3503,Northeast,3.36
5,Richard,Jones,2006-08-08,M,jason76@example.net,724.523.8849x696,Northeast,1.37
6,Wendy,Taylor,1978-01-17,M,camposmichelle@example.org,+1-326-691-6697x8480,West,3.41
7,Kayla,Peterson,1964-06-07,Other,amoore@example.net,001-248-728-1489x3252,Southeast,3.86
8,Tracy,Rodriguez,1969-02-28,Other,john39@example.org,671-882-2782,West,2.68
9,Tamara,Hickman,1995-11-10,F,jenniferross@example.net,+1-557-587-1331x5098,West,2.11
10,Adrian,Zimmerman,1948-06-20,M,carlosjohnson@example.com,983-547-3829,Southeast,3.79
11,Kristen,Aguirre,1957-06-02,F,davisryan@example.com,(870)410-6513x33872,Midwest,1.62
12,Joshua,Wright,2007-04-16,F,ramosmichelle@example.net,908-501-3267,Northeast,1.37
13,Michelle,Barrera,1955-09-01,M,ysmith@example.com,246.787.2343x098,Midwest,4.39
14,Brian,Silva,1978-09-06,Other,brianromero@example.org,291-336-1939,Midwest,4.23
15,Robert,Silva,1980-01-14,Other,sarah35@example.org,362-547-5107x991,Southwest,3.14
16,William,Anderson,1968-03-18,F,suarezmike@example.org,384.498.0841x241,Northeast,3.21
17,Joseph,Jacobs,1993-04-18,Other,james48@example.com,801-264-0052x427,West,4.54
18,Daniel,Landry,1991-06-27,F,amydavenport@example.net,+1-526-520-4505,West,1.77
19,Elizabeth,Gomez,1982-07-24,M,vdickson@example.org,622.460.2563,Northeast,3.65
20,Kristin,Rodriguez,2003-10-24,F,garrisonjeffrey@example.com,(843)730-3654x145,Northeast,4.42
21,Sheila,Wilson,1962-03-28,M,beverlyterrell@example.org,896-555-6981,Southwest,2.11
22,Jonathan,Fletcher,1944-07-30,Other,michaeljones@example.net,895-814-8465x64823,Midwest,1.65
23,Erica,Orr,1986-05-07,F,richard04@example.com,969.495.7773,Southeast,3.68
24,Donna,Campbell,1989-08-21,Other,clarence34@example.org,820.503.7917,Northeast,3.44
25,Jennifer,Cruz,1971-08-29,M,dylanwatts@example.org,001-763-928-7083x17278,West,3.92
26,Cheyenne,Ball,1978-10-24,M,jrivas@example.com,(677)943-4873,Southwest,2.52
27,Chris,Mitchell,1962-12-14,Other,luis81@example.org,(936)823-1665,West,1.88
