customer_id,first_name,last_name,birth_date,gender,email,phone_number,region,risk_score,notes
1,Steven,Perry,1947-12-16,Other,,950-257-6619x4588,Southwest,3.46,
1,Sarah,Melton,1977-02-02,M,gomezjames@example.net,(501)728-4008,Southeast,1.27,
3,Andrew,Powell,1998-10-20,M,ureed@example.com,(308)491-7768x089,Southwest,,
4,Sarah,Gray,1989-06-01,X,osimon@example.com,(223)219-6463,Southeast,3.96,
5,Kevin,Mckay,1957-09-12,F,,(489)943-0120x47137,Southeast,3.16,
6,Danny,Caldwell,"April 18th, 1992",M,christina57@example.com,001-688-555-8298,West,4.97,
1,Jeremy,Johnson,1977-05-10,Other,mark84@example.com,001-460-394-4128x3337,West,2.28,
8,Heidi,Wagner,"April 18th, 1992",Other,vbarnes@example.com,832-897-1506,Midwest,1.95,
9,Eric,Kennedy,1946-07-18,Other,sharon14@example.org,476.793.6634x3925,West,1.88,Preferred customer
1,Brittney,Castaneda,1951-04-24,F,millerjoan@example.org,+1-267-412-0072,Northeast,3.23,
11,Kelly,Bridges,1990-08-26,X,elizabeth10@example.org,351-609-1090x3267,Southeast,3.5,
12,Brittney,Gilbert,1980-04-05,Other,deckerjustin@example.org,794.428.1793x406,Southwest,1.19,Preferred customer
13,Heather,Patrick,1968-11-15,Other,kelly66@example.org,353-937-2201x0912,Southwest,4.14,Preferred customer
14,David,Sharp,1963-09-07,Other,gwendolyn93@example.net,566.718.9437x0526,Southwest,2.63,Preferred customer
15,Carl,Johnson,2002-07-07,X,perry77@example.net,(357)925-6592x0246,Southeast,4.02,
16,Nancy,Cook,1947-04-28,M,johnmunoz@example.com,726.200.5595,Southeast,,
1,Daniel,Ingram,1978-07-24,M,jasoncook@example.net,001-684-986-8999x3607,Southwest,4.66,
18,Bradley,Cook,"April 18th, 1992",F,wellsnatalie@example.com,+1-693-859-3744x039,Southwest,3.23,
19,Joseph,Schmidt,1947-03-22,F,stephaniecole@example.com,6602148860,Southeast,2.02,Preferred customer
20,Tyler,Carpenter,1980-10-21,Other,kimberly36@example.net,001-452-683-0615x3701,Northeast,4.69,Preferred customer
21,Gary,Carter,"April 18th, 1992",M,bmartin@example.org,001-525-314-4881x1210,West,3.9,
1,Kimberly,Bauer,1962-11-03,M,danielhayes@example.org,587.681.7941x51526,Midwest,2.51,
23,Jessica,Bartlett,"April 18th, 1992",Other,gayfrancis@example.com,(888)337-5056,Northeast,4.49,
24,Lindsay,Parsons,"April 18th, 1992",Other,garyoliver@example.com,001-591-237-8765x53007,West,1.87,
25,Ashley,Smith,1989-09-08,F,,712.319.8819x277,Midwest,4.83,
26,Colleen,Johnson,2001-04-19,M,,7108424624,Southeast,4.85,
27,Tina,Hester,1969-03-20,Other,jimenezjoanna@example.com,3047521289,Southwest,,
28,Daniel,Villegas,"April 18th, 1992",Other,lucas12@example.net,391.630.4488,Southeast,2.59,
29,Rebecca,Barrett,1951-04-19,X,cgoodwin@example.com,(715)840-2119x01707,Midwest,4.1,
30,Amber,Baker,1984-09-01,F,christopherjackson@example.net,001-810-273-2283,West,3.59,Preferred customer
31,Erin,Golden,1983-09-15,X,travisyoung@example.com,896.638.4526,Midwest,3.05,
32,Joseph,Jensen,2004-12-30,F,mannjonathan@example.net,401.269.3429x2913,Northeast,,
33,Jerry,Wright,1947-08-19,F,suttondean@example.org,419-403-1061x537,Midwest,4.66,Preferred customer
34,Jennifer,Floyd,"April 18th, 1992",F,mark66@example.net,247.632.3653x37746,Southwest,1.18,
1,Aaron,Ford,1948-08-22,Other,goodmanalice@example.org,(714)624-4260x78197,Southeast,1.06,
36,Dawn,Cole,1991-04-24,Other,mary64@example.org,637.720.3763x8821,West,3.88,Preferred customer
37,Alexa,Vaughn,1962-12-16,X,julie01@example.net,434-943-8998,Southeast,2.32,
38,Tiffany,Smith,1945-10-17,Other,kayla86@example.net,707-332-1464x49369,Southeast,,
